parish_code,parish,area_km2,population_total,working_age_population_15_64,coworking_count,pending_coworking_count,coworking_per_10000_working_age,office_count,cafe_count,hotel_count,university_count,college_count,higher_education_count,municipal_higher_education_count,municipal_hotel_2015_count,major_transit_station_count,municipal_metro_station_count,bus_tram_stop_count,working_age_population_density_km2,coworking_density_km2,office_density_km2,cafe_density_km2,hotel_density_km2,higher_education_density_km2,municipal_higher_education_density_km2,major_transit_station_density_km2,municipal_metro_station_density_km2,bus_tram_stop_density_km2,transit_access_score,demand_proxy_score,median_rent_eur_m2_month,rent_sample_size,rent_coverage_flag,opportunity_score,poi_query_status,population_reference_year,collection_date,coworking_status_note
110610,Campolide,2.7716,14787,9490,2,0,2.107,51,29,8,2,1,3,2,7,4,1,88,3424.015,0.722,18.401,10.463,2.886,1.082,0.722,1.443,0.361,31.751,55.0,63.34,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110611,Carnide,3.6854,18028,11297,1,0,0.885,30,19,0,1,0,1,1,0,5,2,84,3065.339,0.271,8.14,5.155,0.0,0.271,0.271,1.357,0.543,22.793,53.33,38.75,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110660,Estrela,4.5991,20267,13063,2,0,1.531,84,53,14,1,2,3,1,2,6,0,141,2840.338,0.435,18.264,11.524,3.044,0.652,0.217,1.305,0.0,30.658,35.42,49.17,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110618,Lumiar,6.5681,46334,29855,1,0,0.335,35,51,1,1,2,3,2,0,7,4,176,4545.455,0.152,5.329,7.765,0.152,0.457,0.305,1.066,0.609,26.796,67.5,43.33,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110621,Marvila,7.1156,35479,22240,2,0,0.899,19,10,1,1,0,1,3,0,4,2,162,3125.527,0.281,2.67,1.405,0.141,0.141,0.422,0.562,0.281,22.767,31.67,30.83,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110661,Misericórdia,2.1899,9658,6472,3,0,4.635,33,92,25,0,1,1,1,3,6,1,61,2955.386,1.37,15.069,42.011,11.416,0.457,0.457,2.74,0.457,27.855,54.17,56.67,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110633,Olivais,8.0801,32179,19760,0,0,0.0,18,27,3,1,0,1,0,0,6,4,144,2445.514,0.0,2.228,3.342,0.371,0.124,0.0,0.743,0.495,17.822,40.0,14.58,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110662,Parque das Nações,5.4286,22382,15022,3,0,1.997,130,52,11,1,0,1,1,5,8,2,116,2767.196,0.553,23.947,9.579,2.026,0.184,0.184,1.474,0.368,21.368,35.83,46.67,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110663,Penha de França,2.7081,28475,18815,2,0,1.063,17,58,2,0,0,0,0,1,0,0,71,6947.675,0.739,6.277,21.417,0.739,0.0,0.0,0.0,0.0,26.218,27.08,60.42,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110664,Santa Clara,3.3522,23645,15312,1,0,0.653,5,11,0,0,0,0,0,0,1,1,86,4567.747,0.298,1.492,3.281,0.0,0.0,0.0,0.298,0.298,25.655,39.17,30.84,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110665,Santa Maria Maior,3.0085,10051,7149,6,0,8.393,40,126,80,1,0,1,2,20,16,5,98,2376.267,1.994,13.296,41.881,26.591,0.332,0.665,5.318,1.662,32.574,84.17,47.92,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110666,Santo António,1.4929,11060,7375,9,0,12.203,157,51,86,2,0,2,1,49,8,3,53,4940.05,6.029,105.164,34.162,57.606,1.34,0.67,5.359,2.01,35.501,96.67,89.58,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110639,São Domingos de Benfica,4.2903,34076,21023,3,0,1.427,60,46,2,1,0,1,8,1,6,3,101,4900.124,0.699,13.985,10.722,0.466,0.233,1.865,1.399,0.699,23.541,65.0,67.08,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
110667,São Vicente,1.9839,13956,9213,1,0,1.085,11,29,9,0,0,0,0,0,7,1,66,4643.883,0.504,5.545,14.618,4.537,0.0,0.0,3.528,0.504,33.268,72.5,54.17,,0,not_collected,,success,2021,2026-07-25,Count includes verified active rows with assigned parishes. Manual review is complete; all 67 verified rows have coordinates.
