listing_id,source_name,source_url,collection_date,requested_parish,address_or_area_text,property_type,property_subtype,monthly_rent_eur,area_m2,source_rent_eur_m2_month,latitude,longitude,listing_status,parish,parish_assignment_method,requested_parish_match,calculated_rent_eur_m2_month,rent_value_difference,valid_for_analysis,building_key,duplicate_key,verification_note
idealista_35174576,idealista,https://www.idealista.pt/en/imovel/35174576/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Office with shared spaces in Rua Campos Júnior, 9, Centro, Campolide",office,sharedOffice,578,60,10,38.7283136,-9.1644117,good,Campolide,coordinate_within_official_boundary,True,9.63,0.3699999999999992,True,Campolide_38.7283_-9.1644,Campolide_38.7283_-9.1644_60_578,Passed automated coordinate and value checks.
idealista_35174549,idealista,https://www.idealista.pt/en/imovel/35174549/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Office in Rua Campos Júnior, 9, Centro, Campolide",office,,189,50,4,38.7283136,-9.1644117,good,Campolide,coordinate_within_official_boundary,True,3.78,0.2200000000000002,True,Campolide_38.7283_-9.1644,Campolide_38.7283_-9.1644_50_189,Passed automated coordinate and value checks.
idealista_35174527,idealista,https://www.idealista.pt/en/imovel/35174527/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Office with shared spaces in Rua Campos Júnior, 9, Centro, Campolide",office,sharedOffice,389,50,8,38.7283136,-9.1644117,good,Campolide,coordinate_within_official_boundary,True,7.78,0.21999999999999975,True,Campolide_38.7283_-9.1644,Campolide_38.7283_-9.1644_50_389,Passed automated coordinate and value checks.
idealista_35174704,idealista,https://www.idealista.pt/en/imovel/35174704/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Office in Rua Campos Júnior, 9, Centro, Campolide",office,,1926,110,18,38.7283136,-9.1644117,good,Campolide,coordinate_within_official_boundary,True,17.51,0.48999999999999844,True,Campolide_38.7283_-9.1644,Campolide_38.7283_-9.1644_110_1926,Passed automated coordinate and value checks.
idealista_35174685,idealista,https://www.idealista.pt/en/imovel/35174685/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Office with shared spaces in Rua Campos Júnior, 9, Centro, Campolide",office,sharedOffice,958,75,13,38.7283136,-9.1644117,good,Campolide,coordinate_within_official_boundary,True,12.77,0.23000000000000043,True,Campolide_38.7283_-9.1644,Campolide_38.7283_-9.1644_75_958,Passed automated coordinate and value checks.
idealista_35174670,idealista,https://www.idealista.pt/en/imovel/35174670/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Office with shared spaces in Rua Campos Júnior, 9, Centro, Campolide",office,sharedOffice,768,60,13,38.7283136,-9.1644117,good,Campolide,coordinate_within_official_boundary,True,12.8,0.1999999999999993,True,Campolide_38.7283_-9.1644,Campolide_38.7283_-9.1644_60_768,Passed automated coordinate and value checks.
idealista_35174667,idealista,https://www.idealista.pt/en/imovel/35174667/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Office in Rua Campos Júnior, 9, Centro, Campolide",office,,2896,120,24,38.7283136,-9.1644117,good,Campolide,coordinate_within_official_boundary,True,24.13,0.129999999999999,True,Campolide_38.7283_-9.1644,Campolide_38.7283_-9.1644_120_2896,Passed automated coordinate and value checks.
idealista_32398117,idealista,https://www.idealista.pt/en/imovel/32398117/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Private office in Avenida José Malhoa, 11, Praça de Espanha - Sete Rios, Campolide",office,privateOffice,7580,379,20,38.7369654,-9.1637005,good,Campolide,coordinate_within_official_boundary,True,20.0,0.0,True,Campolide_38.737_-9.1637,Campolide_38.737_-9.1637_379_7580,Passed automated coordinate and value checks.
idealista_34365688,idealista,https://www.idealista.pt/en/imovel/34365688/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Office in Avenida José Malhoa, 22 D, Praça de Espanha - Sete Rios, Campolide",office,,10074,438,23,38.7380342,-9.1655494,good,Campolide,coordinate_within_official_boundary,True,23.0,0.0,True,Campolide_38.738_-9.1655,Campolide_38.738_-9.1655_438_10074,Passed automated coordinate and value checks.
idealista_34946469,idealista,https://www.idealista.pt/en/imovel/34946469/?utm_medium=generativeAI&utm_campaign=appChatgpt&utm_creation=link&utm_source=idGpt&utm_project=leadGeneration&utm_link=inChat_detail,2026-07-30,Campolide,"Office in Avenida José Malhoa, Praça de Espanha - Sete Rios, Campolide",office,,8379,399,21,38.7357064,-9.1646871,good,Campolide,coordinate_within_official_boundary,True,21.0,0.0,True,Campolide_38.7357_-9.1647,Campolide_38.7357_-9.1647_399_8379,Passed automated coordinate and value checks.
